"ser","subject","description"
"1","serial","1"
"1","doctype","Paper"
"1","year","1988"
"1","area",
"1","title",
"1","citaIEEE","A. K. Jain and R. C. Dubes, Algorithms for clustering data. Englewood Cliffs,NJ, USA: Prentice-Hall, Inc., 1988."
"1","link2",
"1","link1",
"1","rating",
"1","jcode",
"1","citOthers",
"1","cites","NULL"
"1","myres",
"2","serial","2"
"2","doctype","Paper"
"2","year","2000"
"2","area",
"2","title",
"2","citaIEEE","Y. Ma, B. Liu, C. Wong, P. Yu, and S. Lee, ""Targeting the right students using data mining,"" Discovery and Data Mining, pp. 457-464, 2000."
"2","link2",
"2","link1",
"2","rating",
"2","jcode",
"2","citOthers",
"2","cites","NULL"
"2","myres",
"3","serial","3"
"3","doctype","Paper"
"3","year","2000"
"3","area",
"3","title",
"3","citaIEEE","J. E. Beck and B. P. Woolf, ""High-level student modeling with machine learning,"" Intelligent tutoring systems, pp. 584-593, 2000."
"3","link2",
"3","link1",
"3","rating",
"3","jcode",
"3","citOthers",
"3","cites","NULL"
"3","myres",
"4","serial","4"
"4","doctype","Paper"
"4","year","2001"
"4","area",
"4","title",
"4","citaIEEE","D. Hand, H. Mannila, and P. Smyth, Principles of Data Mining, MIT Press, 2001, p. 53."
"4","link2",
"4","link1",
"4","rating",
"4","jcode",
"4","citOthers",
"4","cites","NULL"
"4","myres",
"5","serial","5"
"5","doctype","Paper"
"5","year","2001"
"5","area",
"5","title",
"5","citaIEEE","O. R. Zaiane and J. Luo, ""Web usage mining for a better web-based learning environment,"" in Proceedings of conference on advanced technology for education, 2001, pp. 60-64."
"5","link2",
"5","link1",
"5","rating",
"5","jcode",
"5","citOthers",
"5","cites","NULL"
"5","myres",
"6","serial","6"
"6","doctype","Paper"
"6","year","2001"
"6","area",
"6","title",
"6","citaIEEE","H. M. Chen and M. D. Cooper, ""Using clustering techniques to detect usage patterns in a Web-based information system,"" Journal of the American Society for Information Science and Technology, vol. 52, pp. 888-904, 2001."
"6","link2",
"6","link1",
"6","rating",
"6","jcode",
"6","citOthers",
"6","cites","NULL"
"6","myres",
"7","serial","7"
"7","doctype","Paper"
"7","year","2002"
"7","area",
"7","title",
"7","citaIEEE","A. A. Castro, H. Saconato, F. Guidugli, and O. A. C. Clark. (2002). Course Online and Systematic Review. Sao Paulo: LED Saconato Meta-Analysis. [Online]. Available: http://www.virtual.epm.br/cursos/metanalise"
